Compañía,Origen,Año_Fundación,Uso_de_Animales,Modelo_de_Espectáculo,Hito_Adaptación
Cirque du Soleil,Canadá,1984,No,Contemporáneo,Nace sin animales 
Ringling Bros. and Barnum & Bailey,EE.UU.,1881,No,Tradicional/Moderno,Elimina animales en 2017 
Circus Oz,Australia,1978,No,Contemporáneo,Pionero en Australia sin animales 
Cirkus Cirkör,Suecia,1995,No,Contemporáneo,Enfoque en tecnología y mensaje social 
Cirque Plume,Francia,1984,No,Contemporáneo,Poético y musical 
Fuerza Bruta,Argentina,2003,No,Contemporáneo/Inmersivo,Uso de tecnología y agua 
Cirque Phénix,Francia,2004,No,Contemporáneo,Récord de trapecistas sin animales 
Big Apple Circus,EE.UU.,1977,Parcial,Tradicional,Jubiló elefantes; mantiene perros 
Lennon Bros Circus,Australia,1893,No,Tradicional,Primero en Australia en dejar animales 
Circus Vargas,EE.UU.,1969,No,Tradicional/Moderno,Transición a shows 100% humanos 
Circus Krone,Alemania,1870,Sí,Tradicional,Mantiene zoológico y doma 
Moscow State Circus,Rusia,1919,Sí,Tradicional,Uso continuo de fieras salvajes 
Tihany Spectacular,Brasil,1945,No,Contemporáneo,Enfoque en ilusionismo y music-hall 
NoFit State Circus,Reino Unido,1986,No,Contemporáneo,Teatro físico y música en vivo 
Flying Fruit Fly Circus,Australia,1979,No,Contemporáneo/Juvenil,Escuela de formación sin animales 
New Shanghai Circus,China,1951,No,Tradicional (Acrobacia),Enfoque en cultura milenaria 
Circo de Chengdu,China,1953,No,Tradicional (Acrobacia),Integración de ópera de Sichuan 
Cirque Medrano,Francia,1844,No,Tradicional,Reconvertido a show humano 
Circo Raluy Histórico,España,1972,No,Tradicional/Museo,Conservación de carromatos históricos 
Cirque d'Hiver,Francia,1852,Parcial,Tradicional,Histórico; evolución hacia arte humano 
,,,,,
Fuentes:,,,,,
20 Circos Más Famosos del Mundo » Fiesta y Terror  https://www.cinconoticias.com/circos-mas-famosos-del-mundo/,,,,,
"Historia del circo - Wikipedia, la enciclopedia libre https://es.wikipedia.org/wiki/Historia_del_circo",,,,,
